WIND,IND,RAIN,IND.1,T.MAX,IND.2,T.MIN,T.MIN.G,Year,month,day
8.71,0,8.1,0,12.1,0,3.8,-0.8,1961,4,8
9.96,0,1.9,0,12,0,8.8,8.3,1961,4,9
5.21,0,1.9,0,14.4,0,9.4,9,1961,4,10
5.66,0,5.8,0,16.1,0,3.7,-0.2,1961,4,11
6.54,0,7.8,0,13.7,0,10.4,9.3,1961,4,12
8,0,0.1,0,15,0,9,3.1,1961,4,13
4.29,0,0.5,0,14.6,0,7,3.3,1961,4,14
2.46,0,0,0,12.7,0,3.4,0,1961,4,15
2.88,0,0,0,12.2,0,2.3,-1.2,1961,4,16
4.46,0,0,0,15.5,0,3.8,-0.8,1961,4,17
5.66,0,0.2,0,10.7,0,6.7,3.6,1961,4,18
12.96,0,3.7,0,11.6,0,7.6,-1.1,1961,4,19
12.25,0,1,0,12.4,0,7.5,5,1961,4,20
9.5,0,3.6,0,16.4,0,8.4,1.6,1961,4,21
7.46,0,11,0,12.6,0,9.3,3.8,1961,4,22
10.71,0,1.8,0,12.8,0,6.7,1.3,1961,4,23
5.25,0,2.8,0,13.8,0,2.4,-2.2,1961,4,24
13.75,0,17.2,0,12.8,0,7.7,1.1,1961,4,25
6,0,0,0,16.2,0,6.7,-0.1,1961,4,26
6.25,0,0,0,16.8,0,7.2,1.6,1961,4,27
2.67,0,0,0,15.5,0,2.7,-2.6,1961,4,28
4.04,0,4,0,15.7,0,7.1,3.8,1961,4,29
5.09,0,1.6,0,16.5,0,9,5,1961,4,30
9.96,0,7.3,0,19.2,0,8.2,5,1961,5,1
10.46,0,3.4,0,13,0,7.7,5,1961,5,2
9.5,0,0.4,0,15.5,0,7.4,6.6,1961,5,3
5.96,0,2,0,16.7,0,10.5,7.8,1961,5,4
9.13,0,0.7,0,16.1,0,6.2,3,1961,5,5
16.83,0,0.8,0,15.5,0,9.2,6.2,1961,5,6
18.21,0,2.3,0,13.3,0,6.8,4.6,1961,5,7
18.58,0,0,0,15,0,7.2,5.5,1961,5,8
7.25,0,0,0,16.7,0,5.4,2.7,1961,5,9
3.33,0,0,0,17.1,0,2.1,-1,1961,5,10
3.67,0,0,0,19.7,0,2.2,0.3,1961,5,11
5.17,0,0,0,19.8,0,6.5,1.4,1961,5,12
5.21,0,0.2,0,22.1,0,5.1,0.1,1961,5,13
10.04,0,1.4,0,15.7,0,10.2,6.6,1961,5,14
5.91,0,0,0,14.7,0,9,8.5,1961,5,15
8.38,0,0,0,13.1,0,8.8,4.6,1961,5,16
5.83,0,0,0,13.4,0,3,-0.4,1961,5,17
5.04,0,0,0,12.7,0,4.3,-1.2,1961,5,18
6.83,0,0,0,14.6,0,5,0.5,1961,5,19
4.71,0,0,0,14.7,0,9,7.2,1961,5,20
3.17,0,0,0,15.2,0,3.4,-0.7,1961,5,21
2.42,0,0,0,14.4,0,6.2,1.1,1961,5,22
3.13,0,0,0,14.5,0,9.4,8.7,1961,5,23
4,0,0.2,0,14.6,0,10.4,10,1961,5,24
6.79,0,1.6,0,12.7,0,8.1,8.4,1961,5,25
9.33,0,0,0,10.6,0,4.6,2.2,1961,5,26
4.92,0,0,0,12.5,0,3.2,-1.2,1961,5,27
5.41,0,0,0,14,0,1,-2.8,1961,5,28
11.71,0,1.8,0,13.3,0,9.2,7.5,1961,5,29
5.83,0,0,0,14.2,0,10,8.1,1961,5,30
6.58,0,0,0,17,0,7.8,3.3,1961,5,31
9.75,0,0,0,17,0,5,3.2,1961,6,1
7.92,0,0,0,17.8,0,10.5,10.1,1961,6,2
10.41,0,0,0,18.7,0,11.7,10.8,1961,6,3
6.21,0,0,0,20.8,0,11.3,10.5,1961,6,4
3.42,0,9.4,2,17,0,12.7,11.7,1961,6,5
4.21,0,0.3,0,16.7,0,11.5,10.6,1961,6,6
8.17,0,4.8,0,17.7,0,8.8,6.6,1961,6,7
9.54,0,0.7,0,15.5,0,7.6,6.1,1961,6,8
8.29,0,1.8,0,17.2,0,6.1,4.4,1961,6,9
9.71,0,1.6,0,15.7,0,10.4,9.6,1961,6,10
6.25,0,3.6,0,16.6,0,9,8.4,1961,6,11
9.17,0,1,0,13.6,0,10.5,9,1961,6,12
4.67,0,0.2,0,18,0,6.2,3.2,1961,6,13
5.66,0,1.2,0,18.8,0,6.4,2.2,1961,6,14
8.25,0,0.1,0,18.8,0,13.1,10.4,1961,6,15
10.54,0,0.2,0,19.6,0,7.7,4.7,1961,6,16
12.96,0,0.8,0,20,0,15,14.4,1961,6,17
13.7,0,0,0,17.6,0,9.5,7.2,1961,6,18
10.37,0,0,0,17.3,0,8.7,6.4,1961,6,19
7.92,0,0,0,16.6,0,8.7,8.7,1961,6,20
10.54,0,1.6,0,19.4,0,7.2,2.1,1961,6,21
13.29,0,0,0,18.5,0,11.6,11.5,1961,6,22
14.21,0,0,0,22.4,0,11.6,9.4,1961,6,23
14.88,0,0,0,23,0,11.5,6.7,1961,6,24
11.87,0,2.8,0,21.6,0,12.1,11.4,1961,6,25
8.38,0,0,0,15.2,0,11.6,11.5,1961,6,26
10.54,0,0,0,16.7,0,6.1,3.5,1961,6,27
8.79,0,0,0,19.5,0,8.1,2.4,1961,6,28
8.33,0,0,0,22.2,0,11.1,8.5,1961,6,29
4.92,0,0,0,23.4,0,11.6,9,1961,6,30
6.71,0,0,0,19.4,0,15.5,14.4,1961,7,1
5.83,0,0,0,20.1,0,12.1,11.5,1961,7,2
15.75,0,0.6,0,18.3,0,9.5,7.2,1961,7,3
14.92,0,0,0,18.2,0,10.6,9.8,1961,7,4
10.08,0,0,0,20,0,7.1,4.5,1961,7,5
7.08,0,0.1,0,20.2,0,8,4.4,1961,7,6
14.54,0,0.2,0,21.2,0,13.6,12.2,1961,7,7
14.04,0,0,0,18.3,0,14.4,13.7,1961,7,8
9.46,0,6.4,0,18.4,0,12.3,11.2,1961,7,9
2.67,0,6.6,0,17.3,0,12.2,11.7,1961,7,10
7.41,0,5.4,0,17.4,0,12.8,12.8,1961,7,11
9.08,0,0.4,0,19,0,13.3,10.1,1961,7,12
16.83,0,21.4,0,13.8,0,9,8.4,1961,7,13
11.83,0,0.1,0,17.4,0,8.3,8.6,1961,7,14
10.25,0,2.6,0,18.8,0,7.6,5.8,1961,7,15
13.13,0,0.1,0,15.6,0,11,10.1,1961,7,16
7.08,0,0,0,19.7,0,10.5,8.8,1961,7,17
4.96,0,0,0,19.3,0,10.5,6.8,1961,7,18
3.5,0,0,0,18.7,0,7.6,3.4,1961,7,19
3.04,0,0,0,18.3,0,12.1,11.2,1961,7,20
2.21,0,0,0,16,0,11.7,7.7,1961,7,21
4.75,0,0,0,17.1,0,8.1,8.8,1961,7,22
2.21,0,0,0,17.3,0,10,7.7,1961,7,23
3.58,0,0,0,18.3,0,11.1,8.6,1961,7,24
12.29,0,1.6,0,20.6,0,11.6,9.2,1961,7,25
18.79,0,0,0,17.5,0,12.7,11.3,1961,7,26
7.87,0,2.6,0,16.7,0,10.2,11.2,1961,7,27
9.67,0,0,0,17.8,0,7.7,5.5,1961,7,28
5.79,0,0,0,18.2,0,11.2,10.5,1961,7,29
6.04,0,0,0,21.4,0,8.2,5.3,1961,7,30
3.75,0,0,0,17.7,0,11.7,10.7,1961,7,31
4.21,0,0.7,0,17.1,0,7.3,3.7,1961,8,1
8.87,0,0.9,0,17.8,0,10.4,9,1961,8,2
11.92,0,5.1,0,19.3,0,9.1,6,1961,8,3
13.54,0,0,0,20.6,0,13.4,13.1,1961,8,4
10.54,0,0,0,19.5,0,7.6,3.3,1961,8,5
7.87,0,0.1,0,18.3,0,13.1,8.4,1961,8,6
3.88,0,15,2,14.4,0,6.1,1.6,1961,8,7
10.63,0,1.1,0,19,0,10,9.8,1961,8,8
11.25,0,1.9,0,18.3,0,10.4,8.4,1961,8,9
4.67,0,1.2,0,16.6,0,9,6.2,1961,8,10
6.83,0,0.2,0,16.6,0,8.8,6.2,1961,8,11
6.83,0,0.8,0,19.1,0,5.6,2.2,1961,8,12
10.92,0,0.1,0,18.4,0,11.2,10.2,1961,8,13
15.09,0,0.4,0,18.8,0,11.6,9.7,1961,8,14
9.42,0,0.3,0,18.3,0,12.2,12,1961,8,15
12.96,0,0,0,19,0,11.1,10.7,1961,8,16
10.21,0,0.4,0,21.7,0,11.2,9.3,1961,8,17
19.04,0,0.8,0,17,0,12.5,13.3,1961,8,18
13.21,0,0.3,0,15.6,0,12,11.5,1961,8,19
12.58,0,9.5,0,21,0,11.3,10.1,1961,8,20
19,0,0.2,0,17.3,0,13,12.2,1961,8,21
12.08,0,0,0,17.2,0,10.5,10.5,1961,8,22
8.17,0,5,0,21.6,0,11.6,10.7,1961,8,23
5.66,0,0,0,18,0,6.4,5,1961,8,24
10.92,0,1.8,0,19.4,0,12.8,12.8,1961,8,25
9.79,0,1.1,0,18.2,0,8.6,5.2,1961,8,26
12.12,0,0,0,21.7,0,12.1,9.5,1961,8,27
9.08,0,0,0,24.6,0,12.6,9.4,1961,8,28
14.12,0,0,0,22.7,0,17.8,14.8,1961,8,29
4.58,0,0,0,20,0,9.4,4.8,1961,8,30
2.92,0,0.1,0,21.1,0,5,4.4,1961,8,31
4.63,0,0.1,0,21,0,11.1,1.3,1961,9,1
3.83,0,0.1,0,20.5,0,12.3,10.4,1961,9,2
5.88,0,0,0,16.1,0,13.7,13.7,1961,9,3
1.25,0,0,0,18.3,0,14.4,14.4,1961,9,4
9.38,0,0.2,0,15.6,0,10.6,8.4,1961,9,5
14.09,0,3.4,0,16.6,0,9.6,8.1,1961,9,6
7.87,0,0,0,15.8,0,6.7,5,1961,9,7
3.17,0,0,0,17.7,0,6.6,3.2,1961,9,8
6.92,0,7.9,0,20.2,0,5.6,2.3,1961,9,9
4.83,0,0,0,21.4,0,13.4,10.5,1961,9,10
8.63,0,2.8,0,18.2,0,10.5,6.4,1961,9,11
11.08,0,0.5,0,19.5,0,10,6.8,1961,9,12
11.75,0,0.8,0,19.1,0,12.6,10.7,1961,9,13
12.75,0,1,0,19.5,0,10.4,7.8,1961,9,14
13,0,0.5,0,19.4,0,13.1,12.4,1961,9,15
20.79,0,0,2,19.5,0,12.7,13.3,1961,9,16
7.87,0,0,0,20,0,10.5,7.2,1961,9,17
4.17,0,0.1,0,18.4,0,5.1,1.3,1961,9,18
8.17,0,9,0,21.6,0,11.6,8.1,1961,9,19
4.79,0,9.8,0,17.6,0,11.1,9.4,1961,9,20
6.46,0,0,0,18.3,0,13.2,12.6,1961,9,21
4.12,0,0.4,0,20.7,0,4.2,0.2,1961,9,22
6.08,0,2.8,0,20.3,0,13.3,12.1,1961,9,23
5.91,0,0,0,16.7,0,5.7,5,1961,9,24
8.92,0,0,0,15.5,0,4.6,0.5,1961,9,25
12.46,0,1.2,0,16.6,0,12.2,9.8,1961,9,26
9.13,0,6.1,0,14.4,0,10.5,10,1961,9,28
9.21,0,1.2,0,16.8,0,8,2.2,1961,9,29
10.96,0,0,0,14.8,0,8.5,4.6,1961,9,30
5.83,0,0.5,0,16,0,10.3,7.6,1961,10,1
8.71,0,3.4,0,17.7,0,10.4,8.4,1961,10,2
4.04,0,7.3,0,15.5,0,13.8,10.6,1961,10,3
3.5,0,4,0,12.7,0,6.6,5.1,1961,10,4
5.63,0,1.8,0,14.7,0,8.8,9.7,1961,10,5
12.96,0,3,0,15,0,11,9.5,1961,10,6
6.87,0,0.6,0,14.6,0,4.3,2.7,1961,10,7
10.17,0,1.6,0,15.1,0,6.4,2.7,1961,10,8
9.04,0,1.7,0,17.5,0,7.8,2.7,1961,10,9
11.75,0,0.9,0,16.6,0,10.4,8.3,1961,10,10
12.71,0,0.1,0,14.3,0,9,6.8,1961,10,11
5.58,0,0,0,15.5,0,2,-1.5,1961,10,12
9.92,0,0,0,17.8,0,5.7,2.6,1961,10,13
2.96,0,0,0,15.6,0,8.8,0,1961,10,14
9,0,0,0,13.8,0,2.5,2.3,1961,10,15
14.58,0,2.2,0,12.2,0,6.5,4.1,1961,10,16
22.17,0,0,0,12.6,0,8.8,7.3,1961,10,17
21.84,0,0,0,12.3,0,6,4.5,1961,10,18
13.21,0,1.1,0,9.6,0,5.7,3.5,1961,10,19
12.08,0,0,0,10.7,0,2.5,-0.2,1961,10,20
7.5,0,0.3,0,13.7,0,5,3.8,1961,10,21
17.58,0,16.7,0,12.6,0,8.4,4.8,1961,10,22
16.21,0,6.6,0,14.5,0,6,4.8,1961,10,23
17.96,0,5.6,0,11.5,0,8.2,6.6,1961,10,24
18.34,0,0.2,0,11.1,0,3.2,1.7,1961,10,25
9.79,0,0,0,13.3,0,7.4,5.2,1961,10,26
7.79,0,1.6,0,11.6,0,4.5,-0.4,1961,10,27
9.75,0,0,0,11.7,0,3.7,1,1961,10,28
9.42,0,0,0,10.4,0,1.5,-3.6,1961,10,29
14.88,0,0,0,12.5,0,5,-1.1,1961,10,30
15.25,0,0.5,0,15.4,0,8.3,8.4,1961,10,31
13.08,0,0.3,0,15.4,0,7.7,3.1,1961,11,1
15.83,0,0.5,0,11.7,0,8,5.4,1961,11,2
11.21,0,0,0,8.2,0,2.2,-1.2,1961,11,3
8.5,0,0,0,10.6,0,1.3,-2.4,1961,11,4
10.79,0,0.4,0,13,2,3,5,1961,11,5
8.21,0,0,2,11.3,0,6.6,4.1,1961,11,6
9.29,0,4.1,0,13.2,0,6.6,5.6,1961,11,7
6.58,0,0,0,10,0,2.3,-1.6,1961,11,8
8.21,0,0,0,9.5,1,-1,-6.3,1961,11,9
7.71,0,0.3,0,6.1,1,-1.6,-6.6,1961,11,10
12.12,0,0,0,8.6,1,-1.6,-5.5,1961,11,11
13.04,0,0,0,10.5,0,0.8,-4.4,1961,11,12
21.87,0,0,0,10.5,0,3.2,1.1,1961,11,13
15.71,0,0,0,9.4,0,8,5.4,1961,11,14
6,0,0,0,8.7,0,6.7,5.8,1961,11,15
2.29,0,0.5,0,8.3,0,6.1,5,1961,11,16
3.13,0,0.4,0,9.6,0,6,5.5,1961,11,17
9.29,0,0,0,9.6,0,6.1,6.3,1961,11,18
9.33,0,0,0,9.4,0,8.4,7.2,1961,11,19
13.04,0,0,0,9.5,0,8.4,7.2,1961,11,20
7,0,17.8,0,10.2,0,1.1,-2.7,1961,11,21
9.17,0,0.7,0,12.3,0,1.6,5,1961,11,22
15.41,0,0,0,8.7,0,2.4,-0.5,1961,11,23
16.17,0,0.9,0,10,0,3.3,5,1961,11,24
11.83,0,0,0,7.7,0,2.8,-0.2,1961,11,25
6.34,0,8.6,0,8.1,1,-0.4,-5.4,1961,11,26
5.83,0,1.2,0,6.8,2,0,5,1961,11,27
12.79,0,0.9,0,8.3,0,1.7,-1.7,1961,11,28
15.29,0,12.5,0,12.6,0,3.5,4.2,1961,11,29
16.5,0,5.8,0,13.1,0,6.6,6.7,1961,11,30
7.25,0,0,0,5.5,0,4.6,3.3,1961,12,1
12.21,0,3,0,7.2,0,0.3,-2.6,1961,12,2
7.67,0,3.2,0,7.4,1,-3.2,-7.8,1961,12,3
13.79,0,8.4,0,13.1,1,-2.2,5,1961,12,4
17.83,0,0.1,2,5,0,0.7,-1.4,1961,12,5
12.62,0,0,0,3.3,1,-0.4,-3.1,1961,12,6
8.87,0,4.5,0,5.5,1,-5.4,-10.4,1961,12,7
19.83,0,4.2,0,11.5,1,-5,5,1961,12,8
10.04,0,3.4,0,13.3,0,5.1,0.1,1961,12,9
18.84,0,4.6,0,14,0,5.1,0.4,1961,12,10
16.83,0,3.3,0,13.4,0,9.1,7.5,1961,12,12
16.66,0,0.2,2,13.5,0,7.8,2.5,1961,12,13
9.38,0,0.1,0,12.7,1,-1.1,-5.5,1961,12,14
10.71,0,0,0,13.2,1,-0.5,5,1961,12,15
6.92,0,0,0,11.2,0,7.8,3.3,1961,12,16
9.54,0,0,0,9,0,4.8,1.6,1961,12,17
4.79,0,0,0,4.4,1,-2.7,-8.3,1961,12,18
3.54,0,0,0,2.1,1,-5,-8.5,1961,12,19
3.63,0,0,0,6.1,1,-5.5,-9,1961,12,20
4.33,0,0,0,6.2,1,-5,-6.7,1961,12,21
13.59,0,0,0,6.8,1,-1.6,5,1961,12,22
18.12,0,0,2,5,0,3.8,3.4,1961,12,23
8.5,0,0,0,2.6,1,-0.5,-5.1,1961,12,24
11.92,0,0,2,5,1,-2.7,-10.7,1961,12,25
17.12,0,0,0,5,0,0.7,-0.5,1961,12,26
2.92,0,0,0,3.3,1,-3.2,-9.4,1961,12,27
8.96,0,0,0,3.8,1,-5.2,-10,1961,12,28
15,0,0,2,3,1,-5,-8.6,1961,12,29
17.29,0,0,0,1.7,0,0.1,0,1961,12,30
10.04,0,1.3,0,1.5,1,-11,-13.4,1961,12,31
10.41,0,0,0,1.2,1,-10.7,5,1962,1,1
8.46,0,0,1,-0.1,1,-7.8,-10.5,1962,1,2
4.58,0,0,0,1.8,1,-8.1,-8.8,1962,1,3
5.5,0,0,0,6,1,-3.8,5,1962,1,4
15.29,0,1.8,0,9.1,1,-2.3,-7.1,1962,1,5
8.46,0,2.1,0,11.6,0,4.6,2.4,1962,1,6
14.29,0,0,0,8.8,0,4.5,0.6,1962,1,7
17.71,0,6.8,0,10.8,0,6.2,3.3,1962,1,8
15.29,0,0,0,6.2,0,3.1,0.5,1962,1,9
14.29,0,4.2,0,12.5,0,1.7,-1.1,1962,1,10
19.7,0,0,0,5.5,0,0,-1.2,1962,1,13
12.42,0,0.1,0,8.6,0,0.5,-2.6,1962,1,14
20.38,0,7.8,0,11.5,0,0.8,-0.3,1962,1,15
19.75,0,2.7,0,8.1,0,2.6,-0.5,1962,1,16
22.79,0,1,0,8.6,0,2.8,3.8,1962,1,17
12.46,0,0,0,8.3,0,1.1,-2.7,1962,1,18
16.08,0,1.1,0,9.8,0,2.2,1.6,1962,1,19
10.29,0,1.1,0,11.1,0,4.2,1.8,1962,1,20
17.29,0,2.4,0,8.8,0,5.5,3.8,1962,1,21
12.71,0,2.6,0,11.2,0,2.3,-0.4,1962,1,23
17.25,0,1,0,11.7,0,3.3,1.1,1962,1,24
18.29,0,0,0,11.3,0,7.2,5.4,1962,1,25
7.41,0,0.9,0,8.7,0,7,4.7,1962,1,26
5.17,0,0,0,7.7,0,4.6,1.8,1962,1,27
3.63,0,0,0,8.2,0,5.6,5,1962,1,28
2.17,0,0,0,10.2,0,5.5,4.5,1962,1,29
13.33,0,0.3,0,11.1,0,1.1,-2.7,1962,1,30
22.42,0,2,0,12.2,0,6.1,5,1962,1,31
15.71,0,0.3,0,7.4,0,1.6,-0.5,1962,2,1
13.17,0,0.8,0,10,0,2.1,1.1,1962,2,2
15.96,0,0,0,10.7,0,3.6,-1.7,1962,2,3
18.88,0,4,0,10.2,0,3.8,1.1,1962,2,4
15.75,0,0,0,10.7,0,3.3,0.4,1962,2,5
18.75,0,2.6,0,11.6,0,3.8,1.8,1962,2,6
8.21,0,0.1,2,10,0,1.7,-1.4,1962,2,8
12.08,0,0,0,11.2,2,1.7,5,1962,2,9
14.96,0,1.1,0,10.5,0,6.8,6,1962,2,10
15.79,0,2.7,0,6.1,0,2,-0.1,1962,2,13
11.71,0,0,0,6.8,1,-1.1,-4,1962,2,14
14.12,0,0,0,10.5,0,3.1,2.4,1962,2,17
8.29,0,0,0,9.8,0,3.8,-0.8,1962,2,18
7.92,0,0,0,10.8,0,6.2,2.2,1962,2,19
1.46,0,0,0,10.6,0,4.8,2.7,1962,2,20
7.04,0,0,0,9.5,0,6.1,5.4,1962,2,21
15.29,0,0,0,6.6,0,2.7,-2.3,1962,2,22
20.21,0,0,0,4,0,3.2,-0.5,1962,2,23
18.12,0,0,0,5.7,0,2.2,1.1,1962,2,24
22.63,0,0.4,0,4.6,0,2.3,1.7,1962,2,25
13.88,0,5.5,0,3.6,1,-0.5,-1.1,1962,2,28
7.96,0,1.1,0,3.5,0,0,-0.1,1962,3,1
9.59,0,0.5,0,5.5,0,0.1,-1.6,1962,3,2
6.71,0,5,0,1,1,-6,-5.4,1962,3,3
5.33,0,0,0,3.3,1,-7.4,-8.8,1962,3,4
5.79,0,0,0,6.1,1,-6.2,-12,1962,3,5
8,0,0,0,6.1,1,-6.6,-12,1962,3,6
18,0,13.9,0,6.2,0,1.2,0.3,1962,3,8
9,0,6,0,9.2,0,2.7,1.6,1962,3,9
3.83,0,7.7,0,8.3,0,5.8,6.6,1962,3,10
10.92,0,2.7,2,5.5,0,4.5,4.5,1962,3,11
7.71,0,0,0,6.1,0,3.1,1.1,1962,3,12
6.83,0,0,0,5.7,1,-2.7,-7.2,1962,3,13
4,0,0,0,5.4,1,-3.8,-10,1962,3,14
16.54,0,3,0,5.6,0,0.2,-3.2,1962,3,15
12.58,0,0,0,6.1,0,1.7,1.8,1962,3,16
7.71,0,0,0,7.2,0,3.5,2.3,1962,3,17
5.79,0,0,0,11.6,1,-4.2,-9.2,1962,3,18
9.04,0,0,0,6.7,1,-0.5,-6.3,1962,3,19
7.67,0,0,0,9.4,1,-1.6,-6.4,1962,3,20
6.71,0,0,0,6.5,0,2.2,-2.3,1962,3,21
5.96,0,0.5,0,9.3,1,-1.5,-6.6,1962,3,22
9.42,0,0,0,6.8,0,2.5,-0.5,1962,3,23
3.5,0,0.2,0,6.8,0,2.6,0,1962,3,24
19.41,0,2.3,0,10.2,0,2.7,1.5,1962,3,25
14.88,0,0.3,0,12.6,0,2.8,1.7,1962,3,26
9.92,0,0.2,0,11.1,0,1.6,-2.2,1962,3,27
13.54,0,4.4,0,10.1,1,-2.1,-7.7,1962,3,28
10.83,0,1.2,0,13.6,0,3.2,2.2,1962,3,29
